city,timestamp,temperature,humidity,precipitation,wind_speed,is_raining,wind_speed_ms
Amsterdam,2026-06-14 00:00:00,15.0,63.0,0.1,16.6,True,4.61
Amsterdam,2026-06-14 01:00:00,15.0,67.0,2.1,19.8,True,5.5
Amsterdam,2026-06-14 02:00:00,14.1,79.0,0.0,16.6,False,4.61
Amsterdam,2026-06-14 03:00:00,14.1,72.0,0.0,18.0,False,5.0
Amsterdam,2026-06-14 04:00:00,14.4,67.0,0.0,20.2,False,5.61
Amsterdam,2026-06-14 05:00:00,14.2,75.0,0.0,17.6,False,4.89
Amsterdam,2026-06-14 06:00:00,14.7,73.0,0.0,19.1,False,5.31
Amsterdam,2026-06-14 07:00:00,15.3,70.0,0.0,20.5,False,5.69
Amsterdam,2026-06-14 08:00:00,15.3,69.0,0.0,16.2,False,4.5
Amsterdam,2026-06-14 09:00:00,16.0,64.0,0.0,16.9,False,4.69
Amsterdam,2026-06-14 10:00:00,16.3,59.0,0.0,20.5,False,5.69
Amsterdam,2026-06-14 11:00:00,15.1,75.0,0.0,18.7,False,5.19
Amsterdam,2026-06-14 12:00:00,16.7,57.0,0.0,16.6,False,4.61
Amsterdam,2026-06-14 13:00:00,17.2,55.0,0.0,15.5,False,4.31
Amsterdam,2026-06-14 14:00:00,16.9,59.0,0.0,14.8,False,4.11
Amsterdam,2026-06-14 15:00:00,17.1,57.0,0.0,20.9,False,5.81
Amsterdam,2026-06-14 16:00:00,16.5,59.0,0.0,20.5,False,5.69
Amsterdam,2026-06-14 17:00:00,16.0,61.0,0.0,19.4,False,5.39
Amsterdam,2026-06-14 18:00:00,15.3,63.0,0.0,18.4,False,5.11
Amsterdam,2026-06-14 19:00:00,14.7,65.0,0.0,16.9,False,4.69
Amsterdam,2026-06-14 20:00:00,14.5,69.0,0.0,17.6,False,4.89
Amsterdam,2026-06-14 21:00:00,14.3,74.0,0.0,18.0,False,5.0
Amsterdam,2026-06-14 22:00:00,14.2,73.0,0.0,18.0,False,5.0
Amsterdam,2026-06-14 23:00:00,14.2,70.0,0.0,15.1,False,4.19
Rotterdam,2026-06-14 00:00:00,15.7,68.0,1.0,14.8,True,4.11
Rotterdam,2026-06-14 01:00:00,15.0,72.0,1.6,14.4,True,4.0
Rotterdam,2026-06-14 02:00:00,14.3,76.0,0.0,15.5,False,4.31
Rotterdam,2026-06-14 03:00:00,14.2,76.0,0.0,17.6,False,4.89
Rotterdam,2026-06-14 04:00:00,14.3,71.0,0.1,19.1,True,5.31
Rotterdam,2026-06-14 05:00:00,14.4,75.0,0.0,15.8,False,4.39
Rotterdam,2026-06-14 06:00:00,15.0,73.0,0.0,18.7,False,5.19
Rotterdam,2026-06-14 07:00:00,15.5,68.0,0.0,19.4,False,5.39
Rotterdam,2026-06-14 08:00:00,15.7,70.0,0.0,17.3,False,4.81
Rotterdam,2026-06-14 09:00:00,16.1,66.0,0.0,16.9,False,4.69
Rotterdam,2026-06-14 10:00:00,16.5,62.0,0.0,19.4,False,5.39
Rotterdam,2026-06-14 11:00:00,17.0,60.0,0.0,19.4,False,5.39
Rotterdam,2026-06-14 12:00:00,16.7,60.0,0.0,20.5,False,5.69
Rotterdam,2026-06-14 13:00:00,17.4,54.0,0.0,17.3,False,4.81
Rotterdam,2026-06-14 14:00:00,17.4,54.0,0.0,15.8,False,4.39
Rotterdam,2026-06-14 15:00:00,17.5,53.0,0.0,18.4,False,5.11
Rotterdam,2026-06-14 16:00:00,17.1,57.0,0.0,19.1,False,5.31
Rotterdam,2026-06-14 17:00:00,16.6,58.0,0.0,17.6,False,4.89
Rotterdam,2026-06-14 18:00:00,15.8,60.0,0.0,16.6,False,4.61
Rotterdam,2026-06-14 19:00:00,15.3,61.0,0.0,15.5,False,4.31
Rotterdam,2026-06-14 20:00:00,14.6,67.0,0.0,13.0,False,3.61
Rotterdam,2026-06-14 21:00:00,14.3,69.0,0.0,11.5,False,3.19
Rotterdam,2026-06-14 22:00:00,14.4,72.0,0.0,13.7,False,3.81
Rotterdam,2026-06-14 23:00:00,14.4,73.0,0.0,15.1,False,4.19
Utrecht,2026-06-14 00:00:00,13.9,81.0,0.1,11.9,True,3.31
Utrecht,2026-06-14 01:00:00,13.6,79.0,0.0,13.7,False,3.81
Utrecht,2026-06-14 02:00:00,13.4,84.0,0.0,11.2,False,3.11
Utrecht,2026-06-14 03:00:00,13.1,87.0,0.0,13.3,False,3.69
Utrecht,2026-06-14 04:00:00,13.4,81.0,0.0,14.0,False,3.89
Utrecht,2026-06-14 05:00:00,13.7,81.0,0.0,13.0,False,3.61
Utrecht,2026-06-14 06:00:00,14.1,79.0,0.0,14.8,False,4.11
Utrecht,2026-06-14 07:00:00,14.7,76.0,0.0,17.6,False,4.89
Utrecht,2026-06-14 08:00:00,14.9,75.0,0.0,14.0,False,3.89
Utrecht,2026-06-14 09:00:00,15.5,71.0,0.0,15.1,False,4.19
Utrecht,2026-06-14 10:00:00,16.1,64.0,0.0,19.8,False,5.5
Utrecht,2026-06-14 11:00:00,15.9,66.0,0.0,18.7,False,5.19
Utrecht,2026-06-14 12:00:00,16.3,63.0,0.9,19.4,True,5.39
Utrecht,2026-06-14 13:00:00,17.7,52.0,0.0,14.8,False,4.11
Utrecht,2026-06-14 14:00:00,17.2,59.0,0.0,14.8,False,4.11
Utrecht,2026-06-14 15:00:00,17.7,55.0,0.0,18.0,False,5.0
Utrecht,2026-06-14 16:00:00,17.1,56.0,0.0,19.4,False,5.39
Utrecht,2026-06-14 17:00:00,16.4,59.0,0.0,18.4,False,5.11
Utrecht,2026-06-14 18:00:00,15.6,62.0,0.0,16.6,False,4.61
Utrecht,2026-06-14 19:00:00,14.8,64.0,0.0,15.1,False,4.19
Utrecht,2026-06-14 20:00:00,13.9,69.0,0.0,12.2,False,3.39
Utrecht,2026-06-14 21:00:00,13.7,71.0,0.0,11.5,False,3.19
Utrecht,2026-06-14 22:00:00,13.7,74.0,0.0,12.2,False,3.39
Utrecht,2026-06-14 23:00:00,13.8,74.0,0.0,12.2,False,3.39
